,CHIR99021_uM,BMP4_uM,BMP7_uM,SHH_uM,SAG_uM,RA_uM,FGF8_uM,FGF2_uM,FGF4_uM,IWP2_uM,XAV939_uM,SB431542_uM,LDN193189_uM,DAPT_uM,EGF_uM,ActivinA_uM,Dorsomorphin_uM,purmorphamine_uM,cyclopamine_uM,log_harvest_day
virtual_00020,1.5,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00021,0.5,0.0019230769230769232,0.0,0.01020408163265306,0.25,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00022,9.0,0.0003846153846153846,0.0,0.00510204081632653,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00023,0.5,0.0019230769230769232,0.0,0.002551020408163265,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00024,1.5,0.0003846153846153846,0.0,0.01020408163265306,0.5,0.05,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00025,1.5,0.0003846153846153846,0.0,0.002551020408163265,0.25,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00026,1.0,0.0019230769230769232,0.0,0.01020408163265306,0.25,0.1,0.0044444444444444444,0.0,0.0,2.5,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00027,1.5,0.0019230769230769232,0.0,0.00510204081632653,0.5,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00028,1.0,0.0019230769230769232,0.0,0.0,0.0,0.01,0.0044444444444444444,0.0,0.0,5.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00029,9.0,0.0019230769230769232,0.0,0.01020408163265306,0.05,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00030,1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00031,1.5,0.0019230769230769232,0.0,0.002551020408163265,0.0,0.1,0.0044444444444444444,0.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00032,1.0,0.0019230769230769232,0.0,0.002551020408163265,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00033,0.5,0.0003846153846153846,0.0,0.002551020408163265,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00034,1.5,0.0019230769230769232,0.0,0.01020408163265306,0.25,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00035,6.0,0.0003846153846153846,0.0,0.002551020408163265,1.0,0.05,0.0022222222222222222,0.0,0.0,5.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00036,6.0,0.0,0.0,0.01020408163265306,0.0,0.5,0.0,0.0,0.0,5.0,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00037,0.0,0.0019230769230769232,0.0,0.01020408163265306,1.0,0.5,0.0022222222222222222,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00038,0.0,0.0003846153846153846,0.0,0.0,0.25,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00039,0.0,0.0019230769230769232,0.0,0.00510204081632653,0.05,0.0,0.0022222222222222222,0.0,0.0,5.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00040,6.0,0.0019230769230769232,0.0,0.002551020408163265,0.05,0.05,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00041,0.0,0.0007692307692307692,0.0,0.002551020408163265,1.0,0.01,0.0044444444444444444,0.0,0.0,2.5,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00042,3.0,0.0019230769230769232,0.0,0.002551020408163265,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00043,1.5,0.0007692307692307692,0.0,0.00510204081632653,0.5,0.01,0.0022222222222222222,0.0,0.0,5.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00044,0.0,0.0003846153846153846,0.0,0.00510204081632653,1.0,0.01,0.0022222222222222222,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00045,6.0,0.0007692307692307692,0.0,0.002551020408163265,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00046,9.0,0.0019230769230769232,0.0,0.002551020408163265,1.0,0.1,0.0022222222222222222,0.0,0.0,5.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00047,0.5,0.0019230769230769232,0.0,0.002551020408163265,0.25,0.0,0.0044444444444444444,0.0,0.0,5.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00048,3.0,0.0003846153846153846,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00049,9.0,0.0003846153846153846,0.0,0.01020408163265306,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00050,3.0,0.0003846153846153846,0.0,0.0,0.25,0.1,0.0022222222222222222,0.0,0.0,5.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00051,3.0,0.0003846153846153846,0.0,0.01020408163265306,1.0,0.0,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00052,1.5,0.0019230769230769232,0.0,0.002551020408163265,0.05,0.5,0.0044444444444444444,0.0,0.0,0.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00053,9.0,0.0003846153846153846,0.0,0.002551020408163265,1.0,0.1,0.0022222222222222222,0.0,0.0,5.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00054,0.5,0.0019230769230769232,0.0,0.0,1.0,0.5,0.0044444444444444444,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00055,1.5,0.0019230769230769232,0.0,0.01020408163265306,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00056,3.0,0.0019230769230769232,0.0,0.00510204081632653,0.0,0.0,0.0022222222222222222,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00057,6.0,0.0003846153846153846,0.0,0.0,0.25,0.01,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00058,0.5,0.0003846153846153846,0.0,0.002551020408163265,0.05,0.05,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00059,3.0,0.0007692307692307692,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00060,3.0,0.0,0.0,0.01020408163265306,0.25,0.0,0.0044444444444444444,0.0,0.0,2.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00061,6.0,0.0019230769230769232,0.0,0.0,0.5,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00062,0.0,0.0003846153846153846,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00063,0.0,0.0019230769230769232,0.0,0.01020408163265306,1.0,0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00064,9.0,0.0019230769230769232,0.0,0.01020408163265306,0.25,0.01,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00065,1.5,0.0007692307692307692,0.0,0.0,0.5,0.5,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00066,0.5,0.0003846153846153846,0.0,0.00510204081632653,0.05,0.5,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00067,0.5,0.0007692307692307692,0.0,0.01020408163265306,0.0,0.01,0.0022222222222222222,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00068,6.0,0.0,0.0,0.01020408163265306,0.05,0.0,0.0022222222222222222,0.0,0.0,5.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00069,3.0,0.0,0.0,0.002551020408163265,0.25,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00070,0.0,0.0,0.0,0.01020408163265306,0.5,0.1,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00071,9.0,0.0007692307692307692,0.0,0.002551020408163265,0.05,0.05,0.0044444444444444444,0.0,0.0,2.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00072,0.5,0.0019230769230769232,0.0,0.002551020408163265,0.05,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00073,1.0,0.0,0.0,0.01020408163265306,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00074,6.0,0.0003846153846153846,0.0,0.01020408163265306,1.0,0.5,0.0,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00075,3.0,0.0007692307692307692,0.0,0.01020408163265306,1.0,0.1,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00076,0.0,0.0,0.0,0.002551020408163265,0.0,0.5,0.0022222222222222222,0.0,0.0,2.5,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00077,0.0,0.0007692307692307692,0.0,0.01020408163265306,0.05,0.1,0.0,0.0,0.0,2.5,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00078,1.5,0.0003846153846153846,0.0,0.01020408163265306,0.5,0.5,0.0,0.0,0.0,5.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00079,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00080,6.0,0.0003846153846153846,0.0,0.00510204081632653,1.0,0.0,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00081,3.0,0.0,0.0,0.00510204081632653,0.0,0.0,0.0022222222222222222,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00082,0.5,0.0007692307692307692,0.0,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00083,1.0,0.0007692307692307692,0.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00084,1.0,0.0,0.0,0.00510204081632653,1.0,0.5,0.0,0.0,0.0,2.5,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00085,3.0,0.0003846153846153846,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00086,0.5,0.0019230769230769232,0.0,0.00510204081632653,0.05,0.01,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00087,0.5,0.0019230769230769232,0.0,0.0,0.5,0.5,0.0022222222222222222,0.0,0.0,2.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00088,9.0,0.0007692307692307692,0.0,0.00510204081632653,1.0,0.5,0.0022222222222222222,0.0,0.0,2.5,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00089,6.0,0.0019230769230769232,0.0,0.01020408163265306,0.05,0.01,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00090,1.0,0.0007692307692307692,0.0,0.002551020408163265,0.5,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00091,9.0,0.0003846153846153846,0.0,0.00510204081632653,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00092,1.5,0.0019230769230769232,0.0,0.01020408163265306,1.0,0.01,0.0022222222222222222,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00093,1.0,0.0007692307692307692,0.0,0.01020408163265306,0.25,0.05,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00094,1.0,0.0003846153846153846,0.0,0.01020408163265306,0.5,0.1,0.0,0.0,0.0,5.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00095,0.5,0.0,0.0,0.002551020408163265,0.25,0.05,0.0,0.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00096,3.0,0.0003846153846153846,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00097,6.0,0.0003846153846153846,0.0,0.0,0.25,0.0,0.0022222222222222222,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00098,9.0,0.0019230769230769232,0.0,0.002551020408163265,0.25,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00099,1.0,0.0,0.0,0.01020408163265306,0.05,0.1,0.0044444444444444444,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00100,6.0,0.0007692307692307692,0.0,0.01020408163265306,0.25,0.05,0.0044444444444444444,0.0,0.0,5.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00101,1.5,0.0,0.0,0.002551020408163265,0.05,0.05,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00102,1.5,0.0003846153846153846,0.0,0.00510204081632653,0.0,0.0,0.0044444444444444444,0.0,0.0,2.5,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00103,0.0,0.0,0.0,0.01020408163265306,0.0,0.1,0.0022222222222222222,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00104,9.0,0.0019230769230769232,0.0,0.00510204081632653,0.05,0.0,0.0044444444444444444,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00105,1.5,0.0003846153846153846,0.0,0.01020408163265306,0.05,0.05,0.0044444444444444444,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00106,0.0,0.0,0.0,0.002551020408163265,1.0,0.1,0.0022222222222222222,0.0,0.0,5.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00107,9.0,0.0019230769230769232,0.0,0.00510204081632653,0.0,0.05,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00108,6.0,0.0003846153846153846,0.0,0.01020408163265306,0.5,0.05,0.0044444444444444444,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00109,6.0,0.0007692307692307692,0.0,0.002551020408163265,0.0,0.01,0.0044444444444444444,0.0,0.0,5.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00110,1.5,0.0,0.0,0.002551020408163265,0.05,0.1,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00111,0.0,0.0003846153846153846,0.0,0.002551020408163265,1.0,0.05,0.0044444444444444444,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00112,6.0,0.0003846153846153846,0.0,0.01020408163265306,0.05,0.5,0.0044444444444444444,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00113,1.5,0.0,0.0,0.00510204081632653,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00114,9.0,0.0007692307692307692,0.0,0.002551020408163265,0.0,0.5,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00115,0.0,0.0003846153846153846,0.0,0.01020408163265306,0.25,0.05,0.0,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00116,0.0,0.0,0.0,0.002551020408163265,0.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00117,6.0,0.0003846153846153846,0.0,0.002551020408163265,0.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00118,6.0,0.0019230769230769232,0.0,0.00510204081632653,1.0,0.0,0.0044444444444444444,0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00119,0.0,0.0,0.0,0.00510204081632653,0.05,0.5,0.0044444444444444444,0.0,0.0,5.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00120,1.0,0.0007692307692307692,0.0,0.00510204081632653,0.05,0.1,0.0044444444444444444,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00121,9.0,0.0007692307692307692,0.0,0.01020408163265306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00122,0.0,0.0003846153846153846,0.0,0.01020408163265306,0.05,0.01,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00123,6.0,0.0,0.0,0.00510204081632653,0.5,0.5,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00124,1.5,0.0019230769230769232,0.0,0.0,0.05,0.05,0.0044444444444444444,0.0,0.0,5.0,0.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
virtual_00125,1.0,0.0007692307692307692,0.0,0.0,0.5,0.05,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00126,9.0,0.0003846153846153846,0.0,0.002551020408163265,0.25,0.1,0.0022222222222222222,0.0,0.0,0.0,0.0,5.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00127,0.0,0.0007692307692307692,0.0,0.01020408163265306,0.5,0.05,0.0,0.0,0.0,0.0,0.0,10.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00128,1.5,0.0007692307692307692,0.0,0.002551020408163265,0.0,0.05,0.0,0.0,0.0,2.5,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,4.276666119016055
virtual_00129,9.0,0.0,0.0,0.002551020408163265,1.0,0.5,0.0022222222222222222,0.0,0.0,2.5,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3.044522437723423
virtual_00130,0.0,0.0007692307692307692,0.0,0.002551020408163265,0.25,0.5,0.0044444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8066624897703196
